fecha,price_close
Apr 30 2019,2945.83
Apr 29 2019,2943.03
Apr 26 2019,2939.88
Apr 25 2019,2926.17
Apr 24 2019,2927.25
Apr 23 2019,2933.68
Apr 22 2019,2907.97
Apr 18 2019,2905.03
Apr 17 2019,2900.45
Apr 16 2019,2907.06
Apr 15 2019,2905.58
Apr 12 2019,2907.41
Apr 11 2019,2888.32
Apr 10 2019,2888.21
Apr 09 2019,2878.20
Apr 08 2019,2895.77
Apr 05 2019,2892.74
Apr 04 2019,2879.39
Apr 03 2019,2873.40
Apr 02 2019,2867.24
Apr 01 2019,2867.19
Mar 29 2019,2834.40
Mar 28 2019,2815.44
Mar 27 2019,2805.37
Mar 26 2019,2818.46
Mar 25 2019,2798.36
Mar 22 2019,2800.71
Mar 21 2019,2854.88
Mar 20 2019,2824.23
Mar 19 2019,2832.57
Mar 18 2019,2832.94
Mar 15 2019,2822.48
Mar 14 2019,2808.48
Mar 13 2019,2810.92
Mar 12 2019,2791.52
Mar 11 2019,2783.30
Mar 08 2019,2743.07
Mar 07 2019,2748.93
Mar 06 2019,2771.45
Mar 05 2019,2789.65
Mar 04 2019,2792.81
Mar 01 2019,2803.69
Feb 28 2019,2784.49
Feb 27 2019,2792.38
Feb 26 2019,2793.90
Feb 25 2019,2796.11
Feb 22 2019,2792.67
Feb 21 2019,2774.88
Feb 20 2019,2784.70
Feb 19 2019,2779.76
Feb 15 2019,2775.60
Feb 14 2019,2745.73
Feb 13 2019,2753.03
Feb 12 2019,2744.73
Feb 11 2019,2709.80
Feb 08 2019,2707.88
Feb 07 2019,2706.05
Feb 06 2019,2731.61
Feb 05 2019,2737.70
Feb 04 2019,2724.87
Feb 01 2019,2706.53
Jan 31 2019,2704.10
Jan 30 2019,2681.05
Jan 29 2019,2640.00
Jan 28 2019,2643.85
Jan 25 2019,2664.76
Jan 24 2019,2642.33
Jan 23 2019,2638.70
Jan 22 2019,2632.90
Jan 18 2019,2670.71
Jan 17 2019,2635.96
Jan 16 2019,2616.10
Jan 15 2019,2610.30
Jan 14 2019,2582.61
Jan 11 2019,2596.26
Jan 10 2019,2596.64
Jan 09 2019,2584.96
Jan 08 2019,2574.41
Jan 07 2019,2549.69
Jan 04 2019,2531.94
Jan 03 2019,2447.89
Jan 02 2019,2510.03
Dec 31 2018,2506.85
Dec 28 2018,2485.74
Dec 27 2018,2488.83
Dec 26 2018,2467.70
Dec 24 2018,2351.10
Dec 21 2018,2416.62
Dec 20 2018,2467.42
Dec 19 2018,2506.96
Dec 18 2018,2546.16
